date,time,frame,frequency,amplitude,activity
30/08/2019,14:00,5300,0,0,8.525195739
30/08/2019,14:00,5310,0,0,7.116933352
30/08/2019,14:00,5320,0,0,7.473709741
30/08/2019,14:00,5330,0,0,7.796468927
30/08/2019,14:00,5340,0,0,7.632353033
30/08/2019,14:00,5350,0,0,9.259768285
30/08/2019,14:00,5360,0,0,8.744783925
30/08/2019,14:00,5370,0,0,8.620157835
30/08/2019,14:00,5380,0,0,8.331353661
30/08/2019,14:00,5390,0,0,7.661022009
30/08/2019,14:00,5400,0,0,7.037083103
30/08/2019,14:00,5410,0,0,6.762520134
30/08/2019,14:00,5420,0,0,7.021598124
30/08/2019,14:00,5430,0,0,8.002064664
30/08/2019,14:00,5440,0,0,8.405358176
30/08/2019,14:00,5450,0,0,7.659902613
30/08/2019,14:00,5460,0,0,7.490251926
30/08/2019,14:00,5470,0,0,8.171217841
30/08/2019,14:00,5480,0,0,7.800138059
30/08/2019,14:00,5490,0,0,8.104178457
30/08/2019,14:00,5500,0,0,8.671214731
30/08/2019,14:00,5510,0,0,9.422578218
30/08/2019,14:00,5520,0,0,9.684268133
30/08/2019,14:00,5530,0,0,9.857525762
30/08/2019,14:00,5540,0,0,9.086821599
30/08/2019,14:00,5550,0,0,8.528305172
30/08/2019,14:00,5560,0,0,9.180415545
30/08/2019,14:00,5570,0,0,8.749759019
30/08/2019,14:00,5580,0,0,8.508218232
30/08/2019,14:00,5590,0,0,9.459704853
30/08/2019,14:00,5600,0,0,9.623758559
30/08/2019,14:00,5610,0,0,9.306036654
30/08/2019,14:00,5620,0,0,10.39701246
30/08/2019,14:00,5630,0,0,9.446209912
30/08/2019,14:00,5640,0,0,9.408088258
30/08/2019,14:00,5650,0,0,10.25503573
30/08/2019,14:00,5660,0,0,9.247828061
30/08/2019,14:00,5670,0,0,9.12556514
30/08/2019,14:00,5680,0,0,9.055478511
30/08/2019,14:00,5690,0,0,8.411141722
30/08/2019,14:00,5700,0,0,7.834217449
30/08/2019,14:00,5710,0,0,7.915622415
30/08/2019,14:00,5720,0,0,7.87432914
30/08/2019,14:00,5730,0,0,7.875759479
30/08/2019,14:00,5740,0,0,8.732159626
30/08/2019,14:00,5750,0,0,7.775511346
30/08/2019,14:00,5760,0,0,7.952873427
30/08/2019,14:00,5770,0,0,8.697769292
30/08/2019,14:00,5780,0,0,9.485140018
30/08/2019,14:00,5790,0,0,9.41922003
30/08/2019,14:00,5800,0,0,9.695897414
30/08/2019,14:00,5810,0,0,9.391732638
30/08/2019,14:00,5820,0,0,9.164744
30/08/2019,14:00,5830,0,0,8.045596731
30/08/2019,14:00,5840,0,0,9.001187804
30/08/2019,14:00,5850,0,0,9.017854367
30/08/2019,14:00,5860,0,0,8.864061791
30/08/2019,14:00,5870,0,0,8.869720959
30/08/2019,14:00,5880,0,0,8.077250763
30/08/2019,14:00,5890,0,0,7.975510103
30/08/2019,14:00,5900,0,0,8.244849224
30/08/2019,14:00,5910,0,0,8.468293108
30/08/2019,14:00,5920,0,0,8.293791705
30/08/2019,14:00,5930,0,0,8.05778571
30/08/2019,14:00,5940,0,0,7.926256678
30/08/2019,14:00,5950,0,0,8.201068401
30/08/2019,14:00,5960,0,0,7.17352504
30/08/2019,14:00,5970,0,0,7.495724529
30/08/2019,14:00,5980,0,0,7.409033526
30/08/2019,14:00,5990,0,0,7.695225776
30/08/2019,14:00,6000,0,0,8.35380377
30/08/2019,14:00,6010,0,0,9.06250583
30/08/2019,14:00,6020,0,0,8.374263842
30/08/2019,14:00,6030,0,0,7.232168954
30/08/2019,14:00,6040,0,0,7.15393561
30/08/2019,14:00,6050,0,0,7.037518423
30/08/2019,14:00,6060,0,0,6.644299476
30/08/2019,14:00,6070,0,0,7.563447989
30/08/2019,14:00,6080,0,0,7.338014067
30/08/2019,14:00,6090,0,0,7.937139694
30/08/2019,14:00,6100,0,0,7.693795437
30/08/2019,14:00,6110,0,0,8.358903241
30/08/2019,14:00,6120,0,0,8.064377709
30/08/2019,14:00,6130,0,0,8.160397012
30/08/2019,14:00,6140,0,0,7.541868521
30/08/2019,14:00,6150,0,0,7.288200944
30/08/2019,14:00,6160,0,0,7.423647863
30/08/2019,14:00,6170,0,0,7.174893191
30/08/2019,14:00,6180,0,0,5.238275881
30/08/2019,14:00,6190,0,0,5.922351229
30/08/2019,14:00,6200,0,0,4.947232915
30/08/2019,14:00,6210,0,0,5.313275415
30/08/2019,14:00,6220,0,0,6.644299476
30/08/2019,14:00,6230,0,0,6.631675176
30/08/2019,14:00,6240,0,0,6.834223668
30/08/2019,14:00,6250,0,0,7.055366571
30/08/2019,14:00,6260,0,0,6.179003862
30/08/2019,14:00,6270,0,0,6.020049627
30/08/2019,14:00,6280,0,0,6.505121237
30/08/2019,14:00,6290,0,0,6.277510712
30/08/2019,14:00,6300,0,0,5.633609244
30/08/2019,14:00,6310,0,0,4.916138581
30/08/2019,14:00,6320,0,0,3.907314009
30/08/2019,14:00,6330,0,0,4.305010541
30/08/2019,14:00,6340,0,0,4.291142468
30/08/2019,14:00,6350,0,0,5.250340483
30/08/2019,14:00,6360,0,0,5.821792153
30/08/2019,14:00,6370,0,0,5.693185988
