date,time,frame,frequency,activity
29/08/2019,15:00:00,3760,0,4.7471875
29/08/2019,15:00:00,3770,0,5.1531875
29/08/2019,15:00:00,3780,0,5.12425
29/08/2019,15:00:00,3790,0,4.9865
29/08/2019,15:00:00,3800,0,5.3395625
29/08/2019,15:00:00,3810,0,4.4690625
29/08/2019,15:00:00,3820,0,4.4456875
29/08/2019,15:00:00,3830,0,4.834625
29/08/2019,15:00:00,3840,0,4.6091875
29/08/2019,15:00:00,3850,0,5.0829375
29/08/2019,15:00:00,3860,0,4.6231875
29/08/2019,15:00:00,3870,0,4.3001875
29/08/2019,15:00:00,3880,0,4.8845
29/08/2019,15:00:00,3890,0,4.964875
29/08/2019,15:00:00,3900,0,4.8800625
29/08/2019,15:00:00,3910,0,5.1078125
29/08/2019,15:00:00,3920,0,5.208
29/08/2019,15:00:00,3930,0,5.049625
29/08/2019,15:00:00,3940,0,4.279875
29/08/2019,15:00:00,3950,0,0.6626875
29/08/2019,15:00:00,3960,450,0.5325625
29/08/2019,15:00:00,3970,450,0.44325
29/08/2019,15:00:00,3980,450,0.4285
29/08/2019,15:00:00,3990,450,0.5969375
29/08/2019,15:00:00,4000,450,0.43725
29/08/2019,15:00:00,4010,450,0.5339375
29/08/2019,15:00:00,4020,450,0.7378125
29/08/2019,15:00:00,4030,450,0.6806875
29/08/2019,15:00:00,4040,450,0.4343125
29/08/2019,15:00:00,4050,450,0.748625
29/08/2019,15:00:00,4060,450,0.6901875
29/08/2019,15:00:00,4070,0,1.18175
29/08/2019,15:00:00,4080,0,2.0286875
29/08/2019,15:00:00,4090,0,2.6114375
29/08/2019,15:00:00,4100,0,3.2184375
29/08/2019,15:00:00,4110,0,3.405125
29/08/2019,15:00:00,4120,0,3.4959375
29/08/2019,15:00:00,4130,0,3.687625
29/08/2019,15:00:00,4140,0,3.4016875
29/08/2019,15:00:00,4150,0,3.8481875
29/08/2019,15:00:00,4160,0,4.272625
29/08/2019,15:00:00,4170,0,4.12275
29/08/2019,15:00:00,4180,0,4.1825625
29/08/2019,15:00:00,4190,0,5.3556875
29/08/2019,15:00:00,4200,0,4.6220625
29/08/2019,15:00:00,4210,0,5.6304375
29/08/2019,15:00:00,4220,0,5.704125
29/08/2019,15:00:00,4230,0,5.834375
29/08/2019,15:00:00,4240,0,5.4689375
29/08/2019,15:00:00,4250,0,4.680875
29/08/2019,15:00:00,4260,0,4.10625
29/08/2019,15:00:00,4270,0,4.7395625
29/08/2019,15:00:00,4280,0,4.784
29/08/2019,15:00:00,4290,0,4.861
29/08/2019,15:00:00,4300,0,4.4179375
29/08/2019,15:00:00,4310,0,5.1051875
29/08/2019,15:00:00,4320,0,4.8145
29/08/2019,15:00:00,4330,0,1.7500625
29/08/2019,15:00:00,4340,400,1.1294375
29/08/2019,15:00:00,4350,400,0.7935
29/08/2019,15:00:00,4360,400,0.925875
29/08/2019,15:00:00,4370,400,1.4595625
29/08/2019,15:00:00,4380,400,0.898375
29/08/2019,15:00:00,4390,400,1.0879375
29/08/2019,15:00:00,4400,400,1.4418125
29/08/2019,15:00:00,4410,400,1.9739375
29/08/2019,15:00:00,4420,400,1.750625
29/08/2019,15:00:00,4430,400,2.2195
29/08/2019,15:00:00,4440,400,2.069625
29/08/2019,15:00:00,4450,0,2.292375
29/08/2019,15:00:00,4460,0,3.5891875
29/08/2019,15:00:00,4470,0,3.7841875
29/08/2019,15:00:00,4480,0,4.0541875
29/08/2019,15:00:00,4490,0,4.0393125
29/08/2019,15:00:00,4500,0,4.463625
29/08/2019,15:00:00,4510,0,4.7159375
29/08/2019,15:00:00,4520,0,4.8165
29/08/2019,15:00:00,4530,0,5.1406875
29/08/2019,15:00:00,4540,0,4.5468125
29/08/2019,15:00:00,4550,0,4.8941875
29/08/2019,15:00:00,4560,0,5.4591875
29/08/2019,15:00:00,4570,0,5.6379375
29/08/2019,15:00:00,4580,0,6.063875
29/08/2019,15:00:00,4590,0,5.5028125
29/08/2019,15:00:00,4600,0,6.1051875
